source_taxonomy,source_version,source_url,taxon_concept_id,species_code,sort_order,category,common_name,scientific_name,authority,taxonomic_order,family,country_text,range_text,habitat,is_extinct
eBird/Clements Checklist,v2025,https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-2247CB05,avibase-2247CB05,ostric2,2,species,Common Ostrich,Struthio camelus,"Linnaeus, 1758",Struthioniformes,Struthionidae (Ostriches),,"desert to savanna plains of sub-Saharan Africa (except northeast), in Sahel zone (rare in west), east through Eritrea, southward to Tanzania, and in southern Africa from southern Angola eastward to northern Zimbabwe and through the Cape region",,false
eBird/Clements Checklist,v2025,https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-40329BB6,avibase-40329BB6,ostric3,7,species,Somali Ostrich,Struthio molybdophanes,"Reichenow, 1883",Struthioniformes,Struthionidae (Ostriches),,"desert to savanna plains of northeastern Africa, from northern Ethiopia, Djibouti, and Somalia southward through far southeastern South Sudan, and southeastern Kenya",,false
eBird/Clements Checklist,v2025,https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-8B9D93D8,avibase-8B9D93D8,soucas1,10,species,Southern Cassowary,Casuarius casuarius,"(Linnaeus, 1758)",Casuariiformes,Casuariidae (Cassowaries and Emu),,"New Guinea, including Aru Islands (off southwestern New Guinea) and northeastern Australia (northern Cape York Peninsula)",,false
eBird/Clements Checklist,v2025,https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-7751E0D1,avibase-7751E0D1,dwacas1,11,species,Dwarf Cassowary,Casuarius bennetti,"Gould, 1857",Casuariiformes,Casuariidae (Cassowaries and Emu),,"New Guinea, including Yapen (Cenderawasih Bay, off northwestern New Guinea), and New Britain",,false
eBird/Clements Checklist,v2025,https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-32E7303B,avibase-32E7303B,norcas1,14,species,Northern Cassowary,Casuarius unappendiculatus,"Blyth, 1860",Casuariiformes,Casuariidae (Cassowaries and Emu),,"lowlands of New Guinea, including Raja Ampat Islands (off western New Guinea) and Yapen (Cenderawasih Bay, off northwestern New Guinea)",,false
eBird/Clements Checklist,v2025,https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-FD2456D5,avibase-FD2456D5,emu1,15,species,Emu,Dromaius novaehollandiae,"(Latham, 1790)",Casuariiformes,Casuariidae (Cassowaries and Emu),,grassland to woodland of Australia (except west-central); formerly including Kangaroo and King islands and Tasmania,,false
eBird/Clements Checklist,v2025,https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-6BA55EF0,avibase-6BA55EF0,sobkiw1,21,species,Southern Brown Kiwi,Apteryx australis,"Shaw, 1813",Apterygiformes,Apterygidae (Kiwis),,southwestern South Island and Stewart Island (New Zealand),,false
eBird/Clements Checklist,v2025,https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-D433BDAB,avibase-D433BDAB,okbkiw1,24,species,Okarito Brown Kiwi,Apteryx rowi,"Tennyson, Palma, Robertson et al., 2003",Apterygiformes,Apterygidae (Kiwis),,"Okarito Forest (west coast of South Island, New Zealand)",,false
eBird/Clements Checklist,v2025,https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-DB55CB8C,avibase-DB55CB8C,nibkiw1,25,species,North Island Brown Kiwi,Apteryx mantelli,"Bartlett, 1852",Apterygiformes,Apterygidae (Kiwis),,North Island (New Zealand),,false
eBird/Clements Checklist,v2025,https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-187706CF,avibase-187706CF,liskiw1,27,species,Little Spotted Kiwi,Apteryx owenii,"Gould, 1847",Apterygiformes,Apterygidae (Kiwis),,"Kapiti, South, and formerly North islands (New Zealand)",,false
